"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://laureltreecounseling.com/","text/html; charset=UTF-8","200","OK","Indexable","","Home Page | Laurel Tree Counseling","34","326","","0","0","","0","Welcome to Laurel Tree Counseling","33","Follow Us","9","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://laureltreecounseling.com/","","","","","","59241","15368","15368","5.989","","151","23","6.565","44.978","Hard","2.059","0","0","","25","6","0","100.000","15","6","0","1","1","0","","","","","6b1e3830a1f363b50f972ba4fb5e4120","0.734","","","","","en-US","1.1","","","","","","https://laureltreecounseling.com/","2025-11-24 20:30:31"
"https://laureltreecounseling.com/wp-includes/js/dist/i18n.min.js?ver=5e580eb46a90c2b997e6","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","3844","3844","3844","1.498","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.036","Sun, 24 Aug 2025 21:23:45 GMT","","","","","1.1","","","","","","https://laureltreecounseling.com/wp-includes/js/dist/i18n.min.js?ver=5e580eb46a90c2b997e6","2025-11-24 20:30:32"
"https://laureltreecounseling.com/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Slider/SliderType/Simple/Assets/dist/ss-simple.min.js?ver=52073c7b","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","3577","3577","3577","1.394","","0","","","","","0.000","1","10","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.117","Sun, 24 Aug 2025 21:26:39 GMT","","","","","1.1","","","","","","https://laureltreecounseling.com/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Slider/SliderType/Simple/Assets/dist/ss-simple.min.js?ver=52073c7b","2025-11-24 20:30:32"
"https://laureltreecounseling.com/wp-content/uploads/elementor/google-fonts/css/montserrat.css?ver=1756071200","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","1199","1199","1199","0.467","","0","","","","","0.000","1","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.117","Sun, 24 Aug 2025 21:33:20 GMT","","","","","1.1","","","","","","https://laureltreecounseling.com/wp-content/uploads/elementor/google-fonts/css/montserrat.css?ver=1756071200","2025-11-24 20:30:32"
"https://laureltreecounseling.com/wp-content/uploads/elementor/css/post-93.css?ver=1762034477","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","899","899","899","0.350","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.117","Sat, 01 Nov 2025 22:01:17 GMT","","","","","1.1","","","","","","https://laureltreecounseling.com/wp-content/uploads/elementor/css/post-93.css?ver=1762034477","2025-11-24 20:30:32"
"https://laureltreecounseling.com/wp-content/uploads/elementor/css/post-125.css?ver=1762034404","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","1387","1387","1387","0.540","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.106","Sat, 01 Nov 2025 22:00:04 GMT","","","","","1.1","","","","","","https://laureltreecounseling.com/wp-content/uploads/elementor/css/post-125.css?ver=1762034404","2025-11-24 20:30:32"
"https://laureltreecounseling.com/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Application/Frontend/Assets/dist/n2.min.js?ver=52073c7b","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","13986","13986","13986","5.450","","0","","","","","0.000","1","9","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.100","Sun, 24 Aug 2025 21:26:38 GMT","","","","","1.1","","","","","","https://laureltreecounseling.com/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Application/Frontend/Assets/dist/n2.min.js?ver=52073c7b","2025-11-24 20:30:33"
"https://laureltreecounseling.com/wp-content/uploads/elementor/css/post-79.css?ver=1762034403","text/css","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","558","558","558","0.217","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.106","Sat, 01 Nov 2025 22:00:03 GMT","","","","","1.1","","","","","","https://laureltreecounseling.com/wp-content/uploads/elementor/css/post-79.css?ver=1762034403","2025-11-24 20:30:33"
"https://laureltreecounseling.com/wp-includes/js/dist/hooks.min.js?ver=4d63a3d491d11ffd8ac6","text/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","1736","1736","1736","0.676","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.104","Sun, 24 Aug 2025 21:23:44 GMT","","","","","1.1","","","","","","https://laureltreecounseling.com/wp-includes/js/dist/hooks.min.js?ver=4d63a3d491d11ffd8ac6","2025-11-24 20:30:33"
"https://laureltreecounseling.com/wp-content/uploads/2020/11/laurel-tree-counseling-logo-300x165.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","19167","19167","19167","7.469","","0","","","","","0.000","1","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.101","Sun, 01 Nov 2020 01:12:20 GMT","","","","","1.1","","","","","","https://laureltreecounseling.com/wp-content/uploads/2020/11/laurel-tree-counseling-logo-300x165.png","2025-11-24 20:30:33"
